id,title,date_release,rating,wish_list_count,review_count,list_count,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10
388527,Malcolm X,1992-11-18,709,4870,34,920,14,18,49,97,329,1088,2383,1521,449,151
375308,La Fureur du dragon,1972-06-01,693,1412,53,885,16,24,67,159,462,1253,2312,1294,350,166
24514376,It Comes at Night,2017-08-25,602,3043,153,1058,71,118,252,549,1051,1679,1618,649,91,30
29090634,I Feel Good,2018-09-26,606,2157,92,854,43,101,200,474,948,1933,1700,583,92,34
8317383,La Chute de la Maison Blanche,2013-03-20,512,658,195,558,153,305,538,881,1406,1506,931,294,60,35
448396,La Grande Bouffe,1973-05-20,694,4056,88,1124,57,70,151,253,487,1009,1734,1539,566,255
465083,La Party,1968-04-04,738,2595,94,1005,18,29,83,178,312,766,1668,1829,885,354
476011,Vive la France,2013-02-20,367,301,100,495,799,938,1109,1154,958,699,320,104,24,21
374999,Disjoncté,1996-06-14,597,1121,51,687,48,139,255,542,1072,1835,1540,574,100,39
489496,Before Sunset,2004-02-10,719,4090,61,1025,33,29,75,147,334,882,2010,1738,636,268
496480,Grindhouse,2007-04-06,727,1935,10,642,11,15,49,84,314,921,2286,1792,533,153
388851,Air Force One,1997-07-25,495,492,54,540,186,376,618,1008,1505,1413,768,216,43,28
19338644,Miss Sloane,2016-12-09,677,3648,109,871,14,33,51,214,503,1338,2322,1291,308,89
374566,"Bloodsport, tous les coups sont permis",1988-02-26,631,1389,85,832,55,78,163,346,906,1604,1719,861,253,184
36411467,Tyler Rake,2020-04-24,582,605,112,648,43,85,243,520,1235,2112,1468,353,69,42
444618,Cube² : Hypercube,2002-08-29,427,614,57,409,380,756,988,1243,1209,934,482,144,23,18
424396,Jusqu'à ce que la fin du monde nous sépare,2012-06-22,610,1991,159,725,49,115,190,482,970,1861,1672,647,149,43
419376,Anna Karénine,2012-09-07,627,3103,128,799,47,70,206,444,892,1555,1668,891,303,106
387624,Pusher II : Du sang sur les mains,2004-12-25,773,3739,78,1178,10,5,22,54,143,535,1733,2470,942,273
